"https://docs.google.com/spreadsheets/d/1q-2sXGsFYsKf3nV5u5golTVrLH5sfc0doiWwz_kavE4/edit?usp=sharing
https://docs.google.com/spreadsheets/d/1k16nGFCE7oBXrEqvTpHSA2Z5530GM_kou-wiWklTsfY/edit?usp=sharing
https://dexscreener.com/bsc/0x8a99b8d53eff6bc331af529af74ad267f3167777
https://t.me/tradecat_community
https://github.com/tukuaiai/tradecat-internal
数据源，raw/market/futures_um_metrics_snapshot_5m，导出时间(UTC+8)，2026-05-30T14:51:05，刷新间隔(s)，60，窗口，5m，条数，529，语言，zh_CN，模式，snapshot，schema，ranking_snapshot.v2，标题，全市场快照，合约数，528，快照时间(ms)，1780123500000，补列数据源，derived_indicators_pg，补列表数，19，补列列数，24，补列周期，5m 15m 1h 4h 1d，交易对口径，统一USDT交易对，金额单位，USDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
排名,交易对,综合分,结构标签,当前持仓额,当前份额(%),当前份额变化(%),主动买卖比(最新可用),大户持仓比,大户持仓-市场账户gap,额连续bars,数据新鲜度分,额变(%),量变(%),额强度(z),量强度(z),量额背离(%),技术指标时间,当前价格,变化率,成交额,主动买卖比,资金流向,EMA趋势,RSI,MACD柱,KDJ,ADX,CCI,ATR%,布林%B,SuperTrend,VWAP偏离%,VPVR,OBV变化率,CVD变化率,MFI,支撑阻力,大资金结构,流动性,期货情绪
1,AR,299.5665,主动买领先空,5350588.33,0.028%,0%,1.2247,1.9105,0.1304,4,75,"5m=0.109%
15m=1.081%
1h=-0%
4h=1.208%
1d=0.665%
1w=18.445%","5m=0.23%
15m=0.392%
1h=0.159%
4h=0.053%
1d=-6.57%
1w=6.328%","5m=0.1255
15m=0.7321
1h=-0.049
4h=0.1122
1d=-0.261
1w=-0.6537","5m=0.4971
15m=0.4481
1h=0.0537
4h=-0.0481
1d=-0.9201
1w=-1.4385","5m=-0.121%
15m=0.69%
1h=-0.159%
4h=1.155%
1d=7.234%
1w=12.117%","5m=2026-05-30 14:40:00
15m=2026-05-30 14:30:00
1h=2026-05-30 13:00:00
4h=2026-05-30 08:00:00
1d=2026-05-29 08:00:00","5m=2.4
15m=2.4
1h=2.39
4h=2.38
1d=2.35","5m=-0.291%
15m=-0.125%
1h=0.462%
4h=1.02%
1d=5.66%","5m=4810.24
15m=3710851.39
1h=34443114.33
4h=157014223.35
1d=2313859006.23","5m=0.0052
15m=0.914
1h=0.389
4h=0.449
1d=0.467","5m=-4760.2
15m=3072533.07
1h=-7662975.22
4h=-15939223.93
1d=-146922001.18","5m=方向=多头排列 带宽=18.01
15m=方向=多头排列 带宽=39.95
1h=方向=多头排列 带宽=83.43
4h=方向=多头排列 带宽=87.91","5m=均值=54.94 方向=震荡 位置=中性区
15m=均值=54.52 方向=震荡 位置=中性区
1h=均值=57.22 方向=震荡 位置=中性区
4h=均值=59.69 方向=震荡 位置=中性区
1d=均值=58.96 方向=震荡 位置=中性区","5m=柱=0.00129 信号=延续
15m=柱=0.00215 信号=延续
1h=柱=-0.00519 信号=延续
4h=柱=0.0306 信号=延续
1d=柱=0.012 信号=金叉/零轴上穿","5m=K=77.84 D=71.97 J=89.58
15m=K=77.61 D=74.66 J=83.5
1h=K=67.7 D=63.62 J=75.86
4h=K=78.23 D=78.12 J=78.47
1d=K=69.24 D=61.7 J=84.33","5m=20.56 +DI=30.79 -DI=20.45
15m=11.55 +DI=23.98 -DI=22.7
1h=19.15 +DI=25.72 -DI=19.46
4h=19.94 +DI=22.1 -DI=14.7
1d=23.36 +DI=23.67 -DI=10.98","5m=35.24
15m=61.86
1h=73.77
4h=95.08
1d=84.28","5m=40.9%
15m=87.5%
1h=211%
4h=453%
1d=813%","5m=%B=0.538 带宽=1.91
15m=%B=0.65 带宽=2.79
1h=%B=0.699 带宽=6.8
4h=%B=0.789 带宽=19.53
1d=%B=0.783 带宽=23.17","5m=方向=多 值=2.37
15m=方向=空 值=2.43
1h=方向=多 值=2.34
4h=方向=多 值=2.12","5m=313%
15m=512%
1h=810%
4h=684%
1d=670%","5m=位置=价值区上方 覆盖=7112%
15m=位置=价值区上方 覆盖=7116%
1h=位置=价值区上方 覆盖=7244%
4h=位置=价值区内 覆盖=7520%
1d=位置=价值区内 覆盖=8314%","5m=0.0353
15m=-0.107
1h=-2.32
4h=1.87
1d=132.32","5m=-12.66
15m=-1.77
1h=-293.87
4h=-165.3
1d=-386.01","5m=42.71
15m=50.84
1h=68.33
4h=76.73
1d=63.31","5m=支撑=113% 阻力=54.2%
15m=支撑=238% 阻力=96%
1h=支撑=614% 阻力=280%
4h=支撑=1422% 阻力=353%
1d=支撑=1619% 阻力=952%","5m=信号=观望 方向=多头 评分=1.7 结构=区间震荡
15m=信号=观望 方向=多头 评分=1.7 结构=区间震荡
1h=信号=观望 方向=多头 评分=1.7 结构=区间震荡
4h=信号=观望 方向=多头 评分=1.7 结构=区间震荡
