"https://docs.google.com/spreadsheets/d/1q-2sXGsFYsKf3nV5u5golTVrLH5sfc0doiWwz_kavE4/edit?usp=sharing
https://docs.google.com/spreadsheets/d/1k16nGFCE7oBXrEqvTpHSA2Z5530GM_kou-wiWklTsfY/edit?usp=sharing
https://dexscreener.com/bsc/0x8a99b8d53eff6bc331af529af74ad267f3167777
https://t.me/tradecat_community
https://github.com/tukuaiai/tradecat-internal
数据源，raw/market/futures_um_metrics_snapshot_5m，导出时间(UTC+8)，2026-05-30T14:51:05，刷新间隔(s)，60，窗口，5m，条数，99，语言，zh_CN，模式，snapshot，schema，tui_unified_ranking.v1，标题，异动面板，合约数，528，快照时间(ms)，1780123500000，交易对口径，统一USDT交易对，金额单位，USDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
排名,交易对,综合分,方向,强度等级,主异动类型,主时间窗口,摘要,命中数,命中窗口,命中榜单,主指标,主指标值,现持仓额,当前份额(%),结构形态,清仓/挤压风险,原始最佳榜单,原始最佳排名,主指标变化率,份额变化(%),5m额变(%),15m额变(%),1h额变(%),4h额变(%),1d额变(%),1w额变(%),5m量变(%),15m量变(%),1h量变(%),4h量变(%),1d量变(%),1w量变(%),5m额强度(z),15m额强度(z),1h额强度(z),4h额强度(z),1d额强度(z),1w额强度(z),持仓量变化,持仓额变化,量连续根数,额连续根数,主动买卖比,主动买卖差,大户持仓比,大户仓位-市场账户,结构分歧分,波动强度,更新时间,数据新鲜度分
1,HEI,100,流入,极强,1d异动榜,1d,HEI 在 1d 以持仓额变化触发1d异动榜，方向=流入，共命中10类榜单。,10,5m / 15m / 1h / 4h / 1d / 1w / 多窗口 / 5m/1h / 1h/4h,5m异动榜 / 15m异动榜 / 1h异动榜 / 4h异动榜 / 1d异动榜 / 1w异动榜 / 多窗口持仓量榜 / 多窗口持仓额榜 / 市场份额相对榜 / 波动区间榜,持仓额变化,13929796.39,14857365.27,0.077%,大户领先做多,挤压/追多风险,1d异动榜,1,1501.753%,0.004%,6.046%,9.459%,17.576%,125.539%,1501.753%,1334.585%,-0.955%,0.788%,8.197%,36.808%,399.234%,494.514%,3.003,2.242,1.054,1.591,5.912,2.002,494.514%,1501.753%,2,1,1.5339,0.9531,1.2259,0.6451,1.0301,4.859,2026-05-30 14:50:00,75
2,ID,100,流入,极强,1d异动榜,1d,ID 在 1d 以持仓额变化触发1d异动榜，方向=流入，共命中8类榜单。,8,5m / 1h / 4h / 1d / 1w / 多窗口 / 5m/1h,5m异动榜 / 1h异动榜 / 4h异动榜 / 1d异动榜 / 1w异动榜 / 多窗口持仓量榜 / 多窗口持仓额榜 / 市场份额相对榜,持仓额变化,8362627.3704,9847798.02,0.051%,主动买领先空,挤压/追多风险,1d异动榜,2,563.075%,0.002%,3.164%,1.715%,-5.435%,37.496%,563.075%,455.305%,0.368%,1.036%,-2.2%,10.588%,289.33%,261.404%,2.348,0.503,-0.806,1.419,4.416,0.555,289.33%,563.075%,1,1,1.0251,-0.3152,1.0522,-0.2881,0.3152,2.881,2026-05-30 14:50:00,75
3,ALLO,100,流入,极强,多窗口持仓额榜,多窗口,ALLO 在 多窗口 以持仓额短时冲击触发多窗口持仓额榜，方向=流入，共命中5类榜单。,5,4h / 1d / 1w / 多窗口,4h异动榜 / 1d异动榜 / 1w异动榜 / 多窗口持仓量榜 / 多窗口持仓额榜,持仓额短时冲击,0.0219,25594177.6,0.133%,主动买领先多,挤压/追多风险,多窗口持仓额榜,2,0.022%,0%,0.022%,-0.434%,-0.995%,-18.547%,62%,1000.763%,0.159%,0.067%,-1.383%,-5.642%,6.728%,270.021%,-0.079,-0.348,-0.431,-1.097,-0.207,-0.918,270.021%,1000.763%,1,1,1.159,0.5562,1.0002,0.3974,0.6182,1.82,2026-05-30 14:50:00,75
4,ESPORTS,100,流入,极强,多窗口持仓量榜,多窗口,ESPORTS 在 多窗口 以持仓量短时冲击触发多窗口持仓量榜，方向=流入，共命中4类榜单。,4,1h / 1w / 多窗口 / 5m/1h,1h异动榜 / 1w异动榜 / 多窗口持仓量榜 / 市场份额相对榜,持仓量短时冲击,0.0162,9940568.02,0.052%,主动买领先空,挤压/追多风险,多窗口持仓量榜,1,0.044%,0%,0.211%,0.688%,-8.046%,-9.822%,-28.008%,-36.181%,0.044%,-0.031%,-2.651%,-4.148%,-12.332%,1235.348%,0.103,0.181,-1.053,-0.792,-1.346,-1.466,1235.348%,-36.181%,1,1,1.489,-1.3661,1.5484,-1.3067,1.6864,1.484,2026-05-30 14:50:00,75
5,XLM,100,流出/清仓,极强,市场份额相对榜,5m/1h,XLM 在 5m/1h 以市场份额变化触发市场份额相对榜，方向=流出/清仓，共命中4类榜单。,4,1h / 1w / 多窗口 / 5m/1h,1h异动榜 / 1w异动榜 / 多窗口持仓额榜 / 市场份额相对榜,市场份额变化,-0.0004,73792675.49,0.385%,空头共振,清仓风险,市场份额相对榜,3,-0%,-0%,-0.13%,0.307%,-6.987%,-7.357%,12.757%,204.221%,0.101%,0.073%,-4.196%,-4.552%,-10.041%,67.784%,-0.234,0.093,-2.062,-1.001,-0.25,-1.692,67.784%,204.221%,2,2,0.8926,0.0022,0.8218,-0.0686,0.0708,1.692,2026-05-30 14:50:00,75
